Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0872067,1.46917,0.129258,-2.98925,1.35275,-0.966663,-0.666376,0.403547,0.525081,0.342612
candidate_1,6dmimic_base,3,5,[],[],-0.0820613,1.4703,0.129078,-3.02939,1.35512,-1.02114,-0.661494,0.410797,0.524737,0.34398
candidate_2,6dmimic_base,3,5,[],[],-0.0878904,1.46778,0.128187,-3.00918,1.35007,-0.968775,-0.670109,0.39933,0.527771,0.336076
candidate_3,6dmimic_base,3,5,[],[],-0.0924233,1.46796,0.128414,-2.94724,1.355,-0.915549,-0.668744,0.397277,0.526243,0.343542
candidate_4,6dmimic_base,3,5,[],[],-0.0980024,1.46625,0.128178,-2.93355,1.3567,-0.885812,-0.671754,0.390752,0.529249,0.340522
candidate_5,6dmimic_base,3,5,[],[],-0.101764,1.49546,0.171258,2.29499,0.842296,-1.10619,0.796227,-0.294216,-0.514086,0.123184
candidate_6,6dmimic_base,3,5,[],[],-0.098642,1.49666,0.170624,2.67846,0.781159,-1.10891,0.811178,-0.399547,-0.426776,-0.0146665
candidate_7,6dmimic_base,3,5,[],[],-0.0993996,1.49694,0.171392,-0.627853,0.79878,-1.12457,-0.0435153,0.464579,-0.365571,0.805376
candidate_8,6dmimic_base,3,5,[],[],-0.100336,1.49602,0.170636,-1.78859,0.79587,-1.11128,-0.482726,0.585291,-0.0477235,0.649717
candidate_9,6dmimic_base,3,5,[],[],-0.0969641,1.49676,0.170601,-3.1305,0.800982,-1.1296,-0.776685,0.494713,0.326582,0.212989
candidate_10,6dmimic_base,3,5,[],[],-0.0981616,1.49782,0.172523,0.448923,0.8132,-1.14768,0.380998,0.212829,-0.560022,0.704216
candidate_11,6dmimic_base,3,5,[],[],-0.105006,1.54084,0.192608,2.23851,0.297579,-1.16401,0.778891,-0.435106,-0.348637,0.287165
candidate_12,6dmimic_base,3,5,[],[],-0.110042,1.53946,0.192263,3.11729,0.30785,-1.1734,0.823897,-0.545478,-0.134316,-0.0748745
candidate_13,6dmimic_base,3,5,[],[],-0.113168,1.53832,0.191908,3.10594,0.309297,-1.16787,0.825724,-0.542356,-0.1382,-0.0702115
candidate_14,6dmimic_base,3,5,[],[],-0.108283,1.53971,0.19233,3.11454,0.312164,-1.1756,0.823137,-0.545992,-0.136756,-0.0750749
candidate_15,6dmimic_base,3,5,[],[],-0.103662,1.53994,0.192292,3.12339,0.309047,-1.168,0.825062,-0.543604,-0.133354,-0.0773546
candidate_16,6dmimic_base,3,5,[],[],-0.108958,1.53904,0.191963,3.10731,0.307551,-1.17149,0.824798,-0.544029,-0.136982,-0.0705482
candidate_17,6dmimic_base,3,5,[],[],-0.113757,1.55902,0.193063,3.08562,-0.0504906,-1.13359,0.842647,-0.537146,0.00626652,0.0371484
candidate_18,6dmimic_base,3,5,[],[],-0.111423,1.55774,0.192692,3.08412,-0.0563497,-1.15416,0.836939,-0.545817,0.00792992,0.0394328
candidate_19,6dmimic_base,3,5,[],[],-0.117029,1.55861,0.19287,3.07225,-0.0399104,-1.14575,0.839298,-0.542198,-0.00202924,0.0399357
candidate_20,6dmimic_base,3,5,[],[],-0.112756,1.55873,0.192482,3.08238,-0.0426366,-1.14219,0.840408,-0.540727,0.00192694,0.0364185
candidate_21,6dmimic_base,3,5,[],[],-0.11532,1.5584,0.192745,3.08038,-0.039893,-1.15005,0.838287,-0.544004,9.08442e-05,0.0365163
candidate_22,6dmimic_base,3,5,[],[],-0.119952,1.55733,0.192658,3.07727,-0.0281749,-1.17224,0.83233,-0.553168,-0.00605631,0.0345761
candidate_23,6dmimic_base,3,5,[],[],-0.12429,1.58203,0.188436,3.03722,-0.255982,-1.07024,0.848616,-0.51081,0.0832673,0.109504
candidate_24,6dmimic_base,3,5,[],[],-0.124723,1.58092,0.188307,3.03652,-0.252375,-1.10014,0.841089,-0.523508,0.0799086,0.110107
candidate_25,6dmimic_base,3,5,[],[],-0.125675,1.58031,0.18818,3.036,-0.251203,-1.10255,0.840507,-0.524555,0.0791424,0.110122
candidate_26,6dmimic_base,3,5,[],[],-0.125697,1.58088,0.188122,3.03047,-0.257262,-1.08455,0.844474,-0.517133,0.0812818,0.113271
candidate_27,6dmimic_base,3,5,[],[],-0.124867,1.58322,0.187756,3.02416,-0.237864,-1.06777,0.84974,-0.510409,0.0723114,0.110436
candidate_28,6dmimic_base,3,5,[],[],-0.124372,1.58079,0.188596,3.055,-0.236157,-1.11191,0.840001,-0.527919,0.0772847,0.0986225
candidate_29,6dmimic_base,3,5,[],[],-0.12428,1.58171,0.188199,3.04336,-0.233001,-1.10729,0.840829,-0.526451,0.0731131,0.102524
candidate_30,6dmimic_base,3,5,[],[],-0.131185,1.59993,0.181871,3.09135,-0.592789,-1.13384,0.802582,-0.519646,0.233403,0.177069
candidate_31,6dmimic_base,3,5,[],[],-0.131586,1.60113,0.181101,3.07539,-0.593662,-1.10479,0.808517,-0.509747,0.232247,0.180334
candidate_32,6dmimic_base,3,5,[],[],-0.132901,1.5992,0.181895,3.07751,-0.593162,-1.12312,0.804071,-0.516921,0.23093,0.181477
candidate_33,6dmimic_base,3,5,[],[],-0.127868,1.60153,0.182831,3.08144,-0.601208,-1.09816,0.809738,-0.50587,0.237467,0.178967
candidate_34,6dmimic_base,3,5,[],[],-0.128968,1.60071,0.182528,3.06617,-0.598524,-1.10479,0.807023,-0.510513,0.231884,0.185256
candidate_35,6dmimic_base,3,5,[],[],-0.133429,1.59924,0.181216,3.05595,-0.600517,-1.12025,0.801816,-0.517784,0.228614,0.19164
candidate_36,6dmimic_base,3,5,[],[],-0.138752,1.62214,0.165376,3.07515,-0.818436,-1.15341,0.761419,-0.511048,0.316737,0.242383
candidate_37,6dmimic_base,3,5,[],[],-0.14364,1.62114,0.164216,3.09796,-0.796867,-1.17423,0.762457,-0.517496,0.31179,0.231612
candidate_38,6dmimic_base,3,5,[],[],-0.144416,1.6211,0.164253,3.10494,-0.790261,-1.18171,0.762416,-0.519919,0.310194,0.228442
candidate_39,6dmimic_base,3,5,[],[],-0.13965,1.62291,0.165102,2.22841,-0.781284,-1.17984,0.596277,-0.601202,0.0572218,0.5289
candidate_40,6dmimic_base,3,5,[],[],-0.141936,1.62212,0.164952,2.67609,-0.774553,-1.18533,0.698659,-0.575514,0.185515,0.382417
candidate_41,6dmimic_base,3,5,[],[],-0.14371,1.6217,0.164569,-3.12875,-0.782031,-1.2125,-0.761141,0.524763,-0.316582,-0.212281
