Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],0.0157439,0.0929379,0.0377467,-2.8332,1.35461,1.93284,-0.516764,-0.57892,0.450377,-0.441552
candidate_1,angular_groundtruth_frame_id,3,5,[],[],0.012723,0.092788,0.0370748,-2.91374,1.35219,1.87981,-0.514567,-0.583825,0.438321,-0.449716
candidate_2,angular_groundtruth_frame_id,3,5,[],[],0.0111323,0.0935142,0.0340404,-2.92338,1.34203,1.88849,-0.511342,-0.590955,0.431499,-0.450677
candidate_3,angular_groundtruth_frame_id,3,5,[],[],0.00748676,0.093108,0.0346736,-2.85271,1.32641,1.96273,-0.507153,-0.598968,0.432954,-0.443378
candidate_4,angular_groundtruth_frame_id,3,5,[],[],0.0114251,0.0930556,0.0328151,-2.8167,1.31402,2.01299,-0.501377,-0.607422,0.430554,-0.440775
candidate_5,angular_groundtruth_frame_id,3,5,[],[],0.0111652,0.0923668,0.0380226,-2.90545,1.33354,1.93172,-0.503717,-0.600437,0.425412,-0.452515
candidate_6,angular_groundtruth_frame_id,3,5,[],[],0.00819953,0.0642146,0.0752188,3.12441,0.820667,1.62505,0.62807,0.66809,-0.26859,0.295031
candidate_7,angular_groundtruth_frame_id,3,5,[],[],0.0113871,0.064136,0.0749997,-3.13714,0.812221,1.65163,-0.62346,-0.674713,0.269323,-0.289006
candidate_8,angular_groundtruth_frame_id,3,5,[],[],0.00849245,0.0646209,0.0734574,2.6912,0.781848,1.64769,0.549853,0.719086,-0.100857,0.412801
candidate_9,angular_groundtruth_frame_id,3,5,[],[],0.00939577,0.0641585,0.07346,1.35739,0.762215,1.67263,0.175673,0.626533,0.379766,0.657551
candidate_10,angular_groundtruth_frame_id,3,5,[],[],0.0119208,0.06412,0.0732198,3.11758,0.758139,1.64906,0.627398,0.685073,-0.243025,0.279259
candidate_11,angular_groundtruth_frame_id,3,5,[],[],0.00661167,0.0644881,0.0728994,3.11908,0.74807,1.6369,0.633066,0.682375,-0.242016,0.273897
candidate_12,angular_groundtruth_frame_id,3,5,[],[],0.00218191,0.0241284,0.0942061,3.13322,0.113114,1.60531,0.693511,0.718213,-0.0362697,0.0435566
candidate_13,angular_groundtruth_frame_id,3,5,[],[],0.00485534,0.0237718,0.0940191,3.12243,0.105852,1.60758,0.692615,0.719302,-0.0298231,0.0447257
candidate_14,angular_groundtruth_frame_id,3,5,[],[],0.0040627,0.0237042,0.0938285,3.10558,0.108911,1.62404,0.68619,0.725161,-0.0243944,0.0518625
candidate_15,angular_groundtruth_frame_id,3,5,[],[],0.00482193,0.0232985,0.0937018,3.10389,0.0983231,1.62078,0.68759,0.72419,-0.0202212,0.0485763
candidate_16,angular_groundtruth_frame_id,3,5,[],[],0.00717121,0.0235156,0.0932532,3.08895,0.0758451,1.6236,0.686738,0.72544,-0.00700174,0.0455969
candidate_17,angular_groundtruth_frame_id,3,5,[],[],0.00251439,0.0240742,0.0936903,3.12005,0.0678983,1.62101,0.688432,0.724426,-0.0155873,0.0320147
candidate_18,angular_groundtruth_frame_id,3,5,[],[],0.000597922,0.00302868,0.0967935,3.11886,-0.129434,1.60906,0.692484,0.71844,0.0530147,-0.0387294
candidate_19,angular_groundtruth_frame_id,3,5,[],[],0.00160246,0.00283413,0.0968168,3.10816,-0.124124,1.61301,0.691346,0.719664,0.0549576,-0.0332211
candidate_20,angular_groundtruth_frame_id,3,5,[],[],-0.000658018,0.00342301,0.0973171,3.12373,-0.126129,1.61373,0.69077,0.720268,0.0500321,-0.0393417
candidate_21,angular_groundtruth_frame_id,3,5,[],[],-0.000666859,0.00360046,0.0971695,3.10885,-0.130891,1.61567,0.690268,0.720408,0.0569955,-0.035975
candidate_22,angular_groundtruth_frame_id,3,5,[],[],0.00095395,0.00300861,0.09679,3.09138,-0.127839,1.61108,0.692245,0.718395,0.0623006,-0.0287006
candidate_23,angular_groundtruth_frame_id,3,5,[],[],0.00258502,0.00347162,0.0970324,3.09762,-0.126832,1.60097,0.695792,0.715107,0.0598672,-0.030193
candidate_24,angular_groundtruth_frame_id,3,5,[],[],0.00284679,0.000811291,0.0964953,3.0839,-0.134211,1.64138,0.681312,0.728349,0.0667483,-0.0294198
candidate_25,angular_groundtruth_frame_id,3,5,[],[],-0.00135701,-0.0234989,0.0933071,3.09658,-0.292115,1.59573,0.692972,0.705779,0.117534,-0.0886127
candidate_26,angular_groundtruth_frame_id,3,5,[],[],-0.00156454,-0.0250387,0.0931903,3.09145,-0.298771,1.60156,0.690854,0.707085,0.121373,-0.0895541
candidate_27,angular_groundtruth_frame_id,3,5,[],[],0.00117732,-0.0264201,0.0929048,3.08587,-0.288527,1.57568,0.700618,0.698371,0.120911,-0.0824173
candidate_28,angular_groundtruth_frame_id,3,5,[],[],0.0029221,-0.0273682,0.0923906,3.07373,-0.276955,1.57439,0.701992,0.697887,0.121176,-0.0740088
candidate_29,angular_groundtruth_frame_id,3,5,[],[],-0.00240102,-0.0251756,0.0926722,3.07862,-0.274724,1.6122,0.688566,0.711458,0.117256,-0.0771691
candidate_30,angular_groundtruth_frame_id,3,5,[],[],0.00310536,-0.0258611,0.0920911,3.06809,-0.275876,1.61445,0.688125,0.711532,0.121308,-0.0740937
candidate_31,angular_groundtruth_frame_id,3,5,[],[],-0.0019003,-0.0440504,0.0851713,3.06907,-0.64523,1.63614,0.656324,0.683864,0.241693,-0.207734
candidate_32,angular_groundtruth_frame_id,3,5,[],[],0.00205526,-0.0435946,0.0840344,2.94932,-0.697604,1.68182,0.648188,0.675265,0.294064,-0.19338
candidate_33,angular_groundtruth_frame_id,3,5,[],[],0.00405332,-0.0439069,0.0839652,2.95901,-0.69273,1.66982,0.651693,0.673538,0.290488,-0.193027
candidate_34,angular_groundtruth_frame_id,3,5,[],[],-0.00578447,-0.042786,0.0856446,2.97998,-0.692932,1.69922,0.639599,0.685994,0.280499,-0.204069
candidate_35,angular_groundtruth_frame_id,3,5,[],[],-0.00046057,-0.0433364,0.0847194,2.97746,-0.686979,1.69067,0.643275,0.683801,0.280442,-0.199913
candidate_36,angular_groundtruth_frame_id,3,5,[],[],-0.000195979,-0.04328,0.0850614,2.98742,-0.718983,1.67605,0.644449,0.675619,0.288215,-0.212502
candidate_37,angular_groundtruth_frame_id,3,5,[],[],-0.000722815,-0.070851,0.0655244,3.03047,-0.82316,1.68209,0.626626,0.667231,0.304234,-0.263789
candidate_38,angular_groundtruth_frame_id,3,5,[],[],0.0032812,-0.069508,0.0661579,3.04838,-0.807907,1.64504,0.638356,0.660687,0.298531,-0.258598
candidate_39,angular_groundtruth_frame_id,3,5,[],[],0.00300762,-0.0693577,0.0665258,3.05865,-0.804703,1.64433,0.637639,0.662486,0.294246,-0.260669
candidate_40,angular_groundtruth_frame_id,3,5,[],[],-0.00222419,-0.0674738,0.0685498,3.04799,-0.808995,1.68352,0.625454,0.672614,0.293957,-0.264551
candidate_41,angular_groundtruth_frame_id,3,5,[],[],-0.000489591,-0.0691009,0.0671247,3.05399,-0.800321,1.68006,0.626824,0.673791,0.289793,-0.262901
candidate_42,angular_groundtruth_frame_id,3,5,[],[],-0.0021337,-0.0684931,0.0683188,3.07982,-0.830332,1.66577,0.624517,0.668319,0.292124,-0.27927
