Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],-0.0593698,-0.00426436,0.0609141,3.05805,1.07503,-3.13465,0.0243609,-0.858155,-0.0376457,-0.511428
candidate_1,angular_groundtruth_frame_id,3,5,[],[],-0.0589045,-0.00566179,0.0663115,2.17518,1.10977,-3.12357,0.251555,-0.750414,-0.399097,-0.462948
candidate_2,angular_groundtruth_frame_id,3,5,[],[],-0.0600472,-0.00652361,0.0581239,3.04904,1.07337,-3.13617,0.0259822,-0.858422,-0.0411434,-0.510631
candidate_3,angular_groundtruth_frame_id,3,5,[],[],-0.0634373,-0.000861367,0.0630211,-2.73356,1.11048,-3.05668,0.0713886,0.835932,-0.150104,0.523059
candidate_4,angular_groundtruth_frame_id,3,5,[],[],-0.0587504,-0.0111282,0.0669213,3.11962,1.11995,-3.06734,0.0372765,-0.846418,-0.0290149,-0.530421
candidate_5,angular_groundtruth_frame_id,3,5,[],[],-0.0602934,-0.00632186,0.0636698,-2.34946,1.10556,-3.08586,0.180608,0.790522,-0.314713,0.493367
candidate_6,angular_groundtruth_frame_id,3,5,[],[],-0.0234486,-0.00700103,0.0850818,3.05075,0.481152,3.08943,0.0144875,0.970151,0.0378742,0.239086
candidate_7,angular_groundtruth_frame_id,3,5,[],[],-0.0227647,-0.0067105,0.0846688,3.07531,0.476432,-3.13619,0.0104427,-0.971202,-0.0328361,-0.235752
candidate_8,angular_groundtruth_frame_id,3,5,[],[],-0.0194161,-0.00703705,0.0865278,3.06879,0.481351,3.12885,-0.00249188,0.97057,0.0338246,0.238421
candidate_9,angular_groundtruth_frame_id,3,5,[],[],-0.0212948,-0.00709554,0.0859668,3.099,0.464491,3.08102,0.0245635,0.972634,0.0137432,0.230633
candidate_10,angular_groundtruth_frame_id,3,5,[],[],-0.0185344,-0.00746709,0.0875614,3.12581,0.482356,3.06639,0.0346208,0.970412,-0.00132295,0.238958
candidate_11,angular_groundtruth_frame_id,3,5,[],[],-0.0224842,-0.00628529,0.0869541,3.13313,0.473317,3.04773,0.0446133,0.971094,-0.00689201,0.234388
candidate_12,angular_groundtruth_frame_id,3,5,[],[],0.0148527,0.00144977,0.0834888,3.01274,-0.0759483,-3.04351,0.0464446,-0.996127,-0.0623993,0.0409945
candidate_13,angular_groundtruth_frame_id,3,5,[],[],0.011385,0.00185379,0.0838252,3.01432,-0.0859013,-3.06223,0.0368274,-0.996379,-0.0617836,0.0453373
candidate_14,angular_groundtruth_frame_id,3,5,[],[],0.0141247,0.000358887,0.0835131,3.02968,-0.0889545,-3.05478,0.0407965,-0.996616,-0.0538909,0.0467755
candidate_15,angular_groundtruth_frame_id,3,5,[],[],0.0149141,0.00208515,0.0837187,3.01867,-0.0763307,-3.03901,0.0487966,-0.996193,-0.0593426,0.0411808
candidate_16,angular_groundtruth_frame_id,3,5,[],[],0.0181378,0.00142071,0.0835749,3.02392,-0.0708146,-3.02816,0.0544719,-0.996158,-0.0566691,0.038613
candidate_17,angular_groundtruth_frame_id,3,5,[],[],0.0526807,0.00222672,0.0882947,3.01234,-0.697159,-3.02883,0.0308265,-0.93765,-0.0413936,0.343729
candidate_18,angular_groundtruth_frame_id,3,5,[],[],0.0543161,0.00331425,0.0863823,3.03037,-0.652927,-3.01609,0.0415148,-0.944975,-0.0324658,0.322871
candidate_19,angular_groundtruth_frame_id,3,5,[],[],0.0558217,0.00236589,0.0851636,3.05934,-0.630456,-3.03485,0.0379452,-0.949249,-0.0225098,0.311415
candidate_20,angular_groundtruth_frame_id,3,5,[],[],0.0599973,-2.32325E-05,0.0819535,3.08434,-0.594249,-3.03836,0.0409426,-0.95495,-0.0122316,0.293674
candidate_21,angular_groundtruth_frame_id,3,5,[],[],0.0593518,-0.0011149,0.0822303,3.13204,-0.593722,-3.06686,0.0343279,-0.955633,0.00636464,0.292483
candidate_22,angular_groundtruth_frame_id,3,5,[],[],0.0599886,-0.000843114,0.0821318,-3.13282,-0.57248,-3.0653,-0.0378213,0.958558,-0.0149713,-0.281979
candidate_23,angular_groundtruth_frame_id,3,5,[],[],0.0896296,0.00492435,0.0498193,2.91854,-1.1567,-2.97537,0.0084528,-0.834341,-0.0477749,0.54911
candidate_24,angular_groundtruth_frame_id,3,5,[],[],0.0895031,0.00689245,0.0497372,2.97022,-1.12487,-3.01158,0.00921193,-0.844039,-0.0377325,0.534873
candidate_25,angular_groundtruth_frame_id,3,5,[],[],0.0889617,0.00781553,0.0503325,3.00278,-1.09832,-3.03386,0.00966728,-0.851624,-0.0310316,0.523144
candidate_26,angular_groundtruth_frame_id,3,5,[],[],0.0887638,0.00422129,0.05057,3.02775,-1.06115,-3.05491,0.00854986,-0.861559,-0.0271339,0.50686
candidate_27,angular_groundtruth_frame_id,3,5,[],[],0.0888047,0.00441578,0.0506008,3.04682,-1.05795,-3.06137,0.0106932,-0.86262,-0.02065,0.505318
candidate_28,angular_groundtruth_frame_id,3,5,[],[],0.0883447,0.00490611,0.0511705,3.01889,-1.05157,-3.0216,0.0210469,-0.863594,-0.0228975,0.503227
