Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0624033,1.58405,0.155706,3.11068,1.08846,0.439573,0.8331,0.194312,-0.502362,0.125776
candidate_1,6dmimic_base,3,5,[],[],-0.0632432,1.58508,0.161163,2.2319,1.12287,0.455157,0.68805,0.399433,-0.382036,0.470202
candidate_2,6dmimic_base,3,5,[],[],-0.0626906,1.58646,0.152951,3.10145,1.08684,0.437828,0.833095,0.195978,-0.500894,0.129037
candidate_3,6dmimic_base,3,5,[],[],-0.0572911,1.58238,0.15768,-2.67497,1.12187,0.523723,-0.827572,-0.0944665,0.550603,0.0551112
candidate_4,6dmimic_base,3,5,[],[],-0.0654394,1.5901,0.161911,-3.10407,1.1316,0.514123,-0.818836,-0.204854,0.52241,-0.120954
candidate_5,6dmimic_base,3,5,[],[],-0.0622616,1.58627,0.158509,-2.2922,1.11771,0.49323,-0.802502,0.0232673,0.553782,0.220849
candidate_6,6dmimic_base,3,5,[],[],-0.0962664,1.57261,0.180537,3.07751,0.496422,0.346572,0.952989,0.174802,-0.236513,0.0729235
candidate_7,6dmimic_base,3,5,[],[],-0.0968011,1.57208,0.180126,3.10295,0.490314,0.404417,0.949215,0.199386,-0.233954,0.0670974
candidate_8,6dmimic_base,3,5,[],[],-0.0999936,1.57109,0.182047,3.09621,0.495674,0.386299,0.950105,0.1915,-0.236462,0.06866
candidate_9,6dmimic_base,3,5,[],[],-0.0982831,1.57186,0.181459,3.12539,0.479966,0.337597,0.957182,0.165077,-0.232978,0.0476889
candidate_10,6dmimic_base,3,5,[],[],-0.100952,1.57114,0.183107,-3.131,0.498168,0.323385,-0.956694,-0.154729,0.244124,-0.0346184
candidate_11,6dmimic_base,3,5,[],[],-0.0968498,1.57154,0.182413,-3.12414,0.489565,0.30431,-0.959265,-0.144955,0.240819,-0.028362
candidate_12,6dmimic_base,3,5,[],[],-0.128687,1.5503,0.179277,3.03837,-0.0642037,0.48246,0.969648,0.236848,0.0434436,0.042412
candidate_13,6dmimic_base,3,5,[],[],-0.125305,1.55123,0.179555,3.03974,-0.0736773,0.463509,0.971774,0.227407,0.0474832,0.0410611
candidate_14,6dmimic_base,3,5,[],[],-0.128422,1.55159,0.179317,3.0552,-0.0769184,0.470865,0.971175,0.231259,0.0474198,0.0330006
candidate_15,6dmimic_base,3,5,[],[],-0.128498,1.54968,0.179493,3.04435,-0.0647011,0.486947,0.969231,0.239139,0.0430641,0.0393541
candidate_16,6dmimic_base,3,5,[],[],-0.131747,1.54908,0.179411,3.04971,-0.0594651,0.497918,0.968055,0.244703,0.0400916,0.0371709
candidate_17,6dmimic_base,3,5,[],[],-0.163426,1.5352,0.184618,3.0456,-0.685541,0.477721,0.917848,0.206908,0.33687,-0.0355235
candidate_18,6dmimic_base,3,5,[],[],-0.164577,1.5336,0.182696,3.06268,-0.641658,0.492183,0.922698,0.21894,0.314734,-0.0404592
candidate_19,6dmimic_base,3,5,[],[],-0.166361,1.53394,0.181517,3.09085,-0.618719,0.47448,0.927366,0.216286,0.301505,-0.0480432
candidate_20,6dmimic_base,3,5,[],[],-0.171215,1.53464,0.178413,3.11504,-0.582441,0.472361,0.932112,0.220413,0.282102,-0.0548136
candidate_21,6dmimic_base,3,5,[],[],-0.171022,1.53589,0.178709,-3.12088,-0.581195,0.444129,-0.933844,-0.213893,-0.277289,0.0727798
candidate_22,6dmimic_base,3,5,[],[],-0.171513,1.5354,0.178612,-3.10295,-0.560001,0.446431,-0.935855,-0.217913,-0.265339,0.0792736
candidate_23,6dmimic_base,3,5,[],[],-0.19759,1.51939,0.146464,2.98242,-1.14598,0.494045,0.822736,0.16302,0.540362,-0.0673682
candidate_24,6dmimic_base,3,5,[],[],-0.19673,1.51761,0.146332,3.02896,-1.11329,0.463327,0.83187,0.165683,0.524383,-0.074601
candidate_25,6dmimic_base,3,5,[],[],-0.195865,1.51694,0.146899,3.05794,-1.08622,0.444935,0.839046,0.167647,0.511521,-0.0790107
candidate_26,6dmimic_base,3,5,[],[],-0.197035,1.52036,0.147223,3.07876,-1.04857,0.428478,0.848817,0.168592,0.494689,-0.0798057
candidate_27,6dmimic_base,3,5,[],[],-0.196998,1.52016,0.147249,3.09738,-1.04522,0.422487,0.849364,0.170855,0.491945,-0.0859037
candidate_28,6dmimic_base,3,5,[],[],-0.196373,1.51987,0.147803,3.06991,-1.03984,0.462013,0.848338,0.181245,0.490424,-0.0834034
