Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.122272,1.54241,0.194099,3.07539,-0.0479966,-1.10267,0.850697,-0.524066,0.00309903,0.0407444
candidate_1,6dmimic_base,3,5,[],[],-0.121192,1.5421,0.194848,3.08599,-0.0416383,-1.10417,0.850616,-0.52464,0.00314268,0.0345759
candidate_2,6dmimic_base,3,5,[],[],-0.118518,1.54258,0.194145,3.07096,-0.0559675,-1.09921,0.85135,-0.522662,0.00540935,0.0447017
candidate_3,6dmimic_base,3,5,[],[],-0.133267,1.54448,0.195345,3.05221,-0.0370254,-0.478719,0.970158,-0.237607,0.00737551,0.0477809
candidate_4,6dmimic_base,3,5,[],[],-0.132256,1.5443,0.195569,3.06343,-0.0401426,-0.494551,0.968455,-0.245288,0.00988284,0.0427857
candidate_5,6dmimic_base,3,5,[],[],-0.13278,1.54459,0.195413,3.06929,-0.028674,-0.491684,0.969073,-0.243692,0.00510038,0.0385422
candidate_6,6dmimic_base,3,5,[],[],-0.139653,1.53832,0.194356,3.05037,-0.0729548,-0.0753982,0.997523,-0.0392876,0.0346881,0.0469061
candidate_7,6dmimic_base,3,5,[],[],-0.136667,1.53853,0.194558,3.05782,-0.0843989,-0.0802851,0.997358,-0.0418261,0.0404369,0.0434962
candidate_8,6dmimic_base,3,5,[],[],-0.137859,1.53854,0.194511,3.0633,-0.0777911,-0.0743004,0.997733,-0.0386059,0.0373767,0.0405217
candidate_9,6dmimic_base,3,5,[],[],-0.137597,1.53057,0.19458,3.06293,-0.0644533,0.464008,0.972241,0.228398,0.04037,0.0308455
candidate_10,6dmimic_base,3,5,[],[],-0.129126,1.53355,0.195111,3.07166,-0.0944974,0.450419,0.973433,0.221315,0.0538088,0.0234998
candidate_11,6dmimic_base,3,5,[],[],-0.137866,1.52969,0.195015,3.06305,-0.0482461,0.468371,0.971891,0.230883,0.0325519,0.0325841
candidate_12,6dmimic_base,3,5,[],[],-0.132006,1.52448,0.195122,3.04572,-0.0564736,0.947464,0.889113,0.454301,0.0469461,0.0297569
candidate_13,6dmimic_base,3,5,[],[],-0.12984,1.52453,0.195139,3.04094,-0.0609696,0.952601,0.887863,0.456339,0.0501061,0.0307259
candidate_14,6dmimic_base,3,5,[],[],-0.136402,1.52292,0.195503,3.06056,-0.0377742,0.939237,0.891196,0.451412,0.0351551,0.0275745
candidate_15,6dmimic_base,3,5,[],[],-0.223573,1.83645,0.381835,-2.16271,-0.170918,0.313786,-0.862304,-0.177038,-0.00121887,0.474434
candidate_16,6dmimic_base,3,5,[],[],-0.220493,1.83834,0.38026,-2.1682,-0.171791,0.310918,-0.863791,-0.175991,-0.0027636,0.472106
candidate_17,6dmimic_base,3,5,[],[],-0.215216,1.83454,0.385676,-2.15012,-0.186874,0.284365,-0.860656,-0.168035,-0.0141299,0.480454
