Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],-0.00315439,0.000260268,0.0942463,3.08698,-0.115758,1.69543,0.661527,0.747192,0.058699,-0.0253196
candidate_1,angular_groundtruth_frame_id,3,5,[],[],-0.00300953,0.00113239,0.0943769,3.08131,-0.119624,1.69843,0.660445,0.747889,0.0620549,-0.0249843
candidate_2,angular_groundtruth_frame_id,3,5,[],[],-0.00614892,0.00146005,0.0944494,3.08408,-0.112275,1.70868,0.656628,0.751579,0.0584791,-0.0234446
candidate_3,angular_groundtruth_frame_id,3,5,[],[],0.00862964,-0.00642223,0.0952435,3.02794,-0.042179,2.35204,0.385001,0.920927,0.0605111,0.00240368
candidate_4,angular_groundtruth_frame_id,3,5,[],[],0.0141584,-0.00753713,0.0951873,3.02558,-0.0254754,2.35171,0.384756,0.921108,0.0583971,0.0105659
candidate_5,angular_groundtruth_frame_id,3,5,[],[],0.00740394,-0.00550524,0.0955849,3.04053,-0.0311771,2.345,0.388033,0.920129,0.0525869,0.00523782
candidate_6,angular_groundtruth_frame_id,3,5,[],[],0.0122861,-0.00126678,0.0946191,3.05574,-0.0647064,2.85792,0.142533,0.988332,0.0470282,-0.0259301
candidate_7,angular_groundtruth_frame_id,3,5,[],[],0.0118094,-0.000779951,0.0946997,3.04866,-0.0625779,2.84914,0.146913,0.987565,0.0504857,-0.0241518
candidate_8,angular_groundtruth_frame_id,3,5,[],[],0.00931956,-0.000418258,0.0949021,3.04894,-0.0683818,2.85472,0.144273,0.987865,0.050688,-0.0271812
candidate_9,angular_groundtruth_frame_id,3,5,[],[],0.0153534,0.00246968,0.0952509,3.04041,-0.0782373,-3.11601,0.0107857,-0.9979,-0.0500258,0.0397017
candidate_10,angular_groundtruth_frame_id,3,5,[],[],0.011355,0.00262551,0.0952958,3.06369,-0.0742171,-3.13451,0.00209268,-0.998552,-0.0387823,0.0372095
candidate_11,angular_groundtruth_frame_id,3,5,[],[],0.0184686,0.00175737,0.0952645,3.06368,-0.0429449,-3.12785,0.00602954,-0.998993,-0.0387906,0.0217216
candidate_12,angular_groundtruth_frame_id,3,5,[],[],-0.0213336,-0.224266,0.185498,-1.70681,-0.368819,-2.88477,-0.214416,0.719211,-0.658647,-0.0542717
candidate_13,angular_groundtruth_frame_id,3,5,[],[],-0.0246277,-0.261721,0.202154,-2.48447,-0.413171,-2.94263,-0.157864,0.915229,-0.333539,-0.161822
candidate_14,angular_groundtruth_frame_id,3,5,[],[],-0.0271534,-0.261743,0.202283,-2.48401,-0.415981,-2.95179,-0.154127,0.91555,-0.333039,-0.164615
