Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],-0.00103228,0.00105761,0.0958097,3.10877,-0.0763053,1.61322,0.691806,0.72089,0.0382284,-0.016187
candidate_1,angular_groundtruth_frame_id,3,5,[],[],-0.00340002,0.00158979,0.0960367,3.11947,-0.0789241,1.61653,0.690489,0.722181,0.035241,-0.0208916
candidate_2,angular_groundtruth_frame_id,3,5,[],[],-0.00351484,0.00259195,0.0961545,3.12737,-0.0905308,1.60899,0.69298,0.719501,0.0364958,-0.0276758
candidate_3,angular_groundtruth_frame_id,3,5,[],[],-0.00264737,0.00303748,0.0962701,3.12754,-0.0871505,1.60521,0.694379,0.718256,0.0353141,-0.0264512
candidate_4,angular_groundtruth_frame_id,3,5,[],[],-0.00661147,0.00346395,0.0964619,3.12525,-0.0861699,1.60918,0.692994,0.71961,0.0357486,-0.0253722
candidate_5,angular_groundtruth_frame_id,3,5,[],[],0.00344203,-0.0043319,0.0955896,3.07944,-0.0661791,2.04141,0.523102,0.851062,0.0437591,-0.0119556
candidate_6,angular_groundtruth_frame_id,3,5,[],[],0.00525245,-0.00454361,0.0952171,3.07392,-0.06515,2.04921,0.519803,0.852996,0.0457999,-0.0102521
candidate_7,angular_groundtruth_frame_id,3,5,[],[],0.00258825,-0.00200247,0.095555,3.07194,-0.0733435,2.02764,0.529028,0.847098,0.0489045,-0.0127104
candidate_8,angular_groundtruth_frame_id,3,5,[],[],0.00471765,-0.00325017,0.0946337,3.07953,-0.0826225,2.01398,0.534775,0.843416,0.0482627,-0.0183237
candidate_9,angular_groundtruth_frame_id,3,5,[],[],0.00546554,-0.00435114,0.0949859,3.06726,-0.0672179,2.00133,0.540115,0.840101,0.049388,-0.00822336
candidate_10,angular_groundtruth_frame_id,3,5,[],[],0.00753948,-0.00314484,0.0959765,3.0631,-0.0794249,2.25178,0.431109,0.900574,0.0524605,-0.0189374
candidate_11,angular_groundtruth_frame_id,3,5,[],[],0.00366071,-0.00150699,0.0963835,3.0729,-0.0932258,2.22201,0.444453,0.893933,0.0514039,-0.0265107
candidate_12,angular_groundtruth_frame_id,3,5,[],[],0.0075669,-0.00172021,0.0962562,3.05923,-0.078309,2.24279,0.435178,0.898553,0.0540462,-0.0173554
candidate_13,angular_groundtruth_frame_id,3,5,[],[],0.006908,-0.00126331,0.0963164,3.06825,-0.079031,2.21746,0.446448,0.893188,0.050392,-0.0190072
candidate_14,angular_groundtruth_frame_id,3,5,[],[],0.00617716,-0.00253238,0.096185,3.08509,-0.0880964,2.19216,0.457567,0.887637,0.0452195,-0.0262498
candidate_15,angular_groundtruth_frame_id,3,5,[],[],0.0085926,-0.00337459,0.0956246,3.08581,-0.0853053,2.35636,0.383211,0.922256,0.0420498,-0.0287198
candidate_16,angular_groundtruth_frame_id,3,5,[],[],0.00876945,-0.00367656,0.0959986,3.07816,-0.0809178,2.32446,0.397944,0.91597,0.0451408,-0.0245109
candidate_17,angular_groundtruth_frame_id,3,5,[],[],0.00967822,-0.00361771,0.0960964,3.07114,-0.0666623,2.2876,0.414721,0.908657,0.0458306,-0.0157371
candidate_18,angular_groundtruth_frame_id,3,5,[],[],0.00834615,-0.00319872,0.0960869,3.07807,-0.0811486,2.30442,0.407109,0.911928,0.0454683,-0.0241458
candidate_19,angular_groundtruth_frame_id,3,5,[],[],0.0108248,-0.00386758,0.0957834,3.09183,-0.0770327,2.27338,0.421027,0.90589,0.0387432,-0.0244692
candidate_20,angular_groundtruth_frame_id,3,5,[],[],0.0142634,-0.00757861,0.0953117,3.07727,-0.0790341,2.46483,0.33273,0.941647,0.0434144,-0.0265818
candidate_21,angular_groundtruth_frame_id,3,5,[],[],0.0152533,-0.0077358,0.0951136,3.07827,-0.0832423,2.46972,0.330445,0.942378,0.0435699,-0.0288373
candidate_22,angular_groundtruth_frame_id,3,5,[],[],0.0129109,-0.00725232,0.0954322,3.07107,-0.0799147,2.46358,0.333406,0.941279,0.0464962,-0.0259357
candidate_23,angular_groundtruth_frame_id,3,5,[],[],0.011046,-0.00557318,0.0956415,3.07232,-0.0824488,2.46388,0.333273,0.941295,0.0463246,-0.0273442
candidate_24,angular_groundtruth_frame_id,3,5,[],[],0.0138887,-0.00651614,0.095577,3.05168,-0.0575461,2.45196,0.33876,0.93936,0.0519941,-0.011863
candidate_25,angular_groundtruth_frame_id,3,5,[],[],0.0149008,-0.000425874,0.0945705,3.05498,-0.0309408,2.87962,0.131136,0.990298,0.0449347,-0.0096692
