Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0832706,1.53738,0.150045,3.0938,-0.0547772,-1.14118,0.840674,-0.540321,0.0101385,0.0348899
candidate_1,6dmimic_base,3,5,[],[],-0.0808648,1.53777,0.150224,3.10457,-0.0573463,-1.13783,0.841709,-0.538852,0.0141808,0.0310314
candidate_2,6dmimic_base,3,5,[],[],-0.0803765,1.53688,0.150319,3.1123,-0.0690644,-1.14519,0.839634,-0.541857,0.0210836,0.0310086
candidate_3,6dmimic_base,3,5,[],[],-0.0810112,1.53614,0.15044,3.11239,-0.0657413,-1.14901,0.838658,-0.54347,0.0196552,0.0301084
candidate_4,6dmimic_base,3,5,[],[],-0.0771633,1.53724,0.15056,3.11018,-0.0647011,-1.14506,0.839714,-0.541837,0.0186785,0.0307166
candidate_5,6dmimic_base,3,5,[],[],-0.0894699,1.5407,0.150008,3.07477,-0.0403922,-0.713716,0.93605,-0.349698,0.00724494,0.0383444
candidate_6,6dmimic_base,3,5,[],[],-0.0912401,1.54022,0.149668,3.06945,-0.0393275,-0.705928,0.937315,-0.346054,0.0059748,0.0406249
candidate_7,6dmimic_base,3,5,[],[],-0.0877967,1.53886,0.149911,3.06692,-0.0476231,-0.727429,0.93335,-0.35623,0.0089602,0.0433415
candidate_8,6dmimic_base,3,5,[],[],-0.0902674,1.53923,0.149046,3.07415,-0.0569728,-0.741016,0.930888,-0.362632,0.0143315,0.0417227
candidate_9,6dmimic_base,3,5,[],[],-0.0913705,1.53996,0.149435,3.06156,-0.0416383,-0.753733,0.92857,-0.368409,0.00462146,0.0448464
candidate_10,6dmimic_base,3,5,[],[],-0.0928184,1.53804,0.150437,3.06393,-0.0532325,-0.503651,0.967129,-0.249897,0.0160839,0.0442122
candidate_11,6dmimic_base,3,5,[],[],-0.0885868,1.53798,0.150749,3.07294,-0.0670206,-0.533373,0.963237,-0.264342,0.0232617,0.0419104
candidate_12,6dmimic_base,3,5,[],[],-0.0922988,1.53671,0.150688,3.05981,-0.0521103,-0.512628,0.965924,-0.254249,0.01482,0.0461293
candidate_13,6dmimic_base,3,5,[],[],-0.0915126,1.53653,0.150728,3.06817,-0.0528259,-0.53791,0.962806,-0.266387,0.015694,0.0423833
candidate_14,6dmimic_base,3,5,[],[],-0.0913166,1.53799,0.150612,3.08435,-0.0619016,-0.56316,0.959518,-0.278478,0.0217662,0.0360747
candidate_15,6dmimic_base,3,5,[],[],-0.0938915,1.53787,0.150105,3.08937,-0.0593412,-0.399277,0.979219,-0.198919,0.0238914,0.0314612
candidate_16,6dmimic_base,3,5,[],[],-0.0941615,1.53807,0.15049,3.08088,-0.054854,-0.431096,0.975864,-0.214517,0.0202873,0.0355011
candidate_17,6dmimic_base,3,5,[],[],-0.0949812,1.53767,0.150601,3.0729,-0.0405161,-0.467872,0.971827,-0.232301,0.0117349,0.0380894
candidate_18,6dmimic_base,3,5,[],[],-0.0935856,1.53779,0.150561,3.08027,-0.0550355,-0.45111,0.973655,-0.22428,0.0199515,0.0360173
candidate_19,6dmimic_base,3,5,[],[],-0.0961478,1.53748,0.15031,3.09322,-0.0508641,-0.482084,0.970345,-0.239165,0.018916,0.0295445
candidate_20,6dmimic_base,3,5,[],[],-0.100756,1.53964,0.149969,3.08362,-0.053606,-0.290971,0.988552,-0.145628,0.0223057,0.0325478
candidate_21,6dmimic_base,3,5,[],[],-0.101739,1.53941,0.149789,3.08475,-0.0578454,-0.28611,0.988854,-0.143264,0.0245617,0.0322389
candidate_22,6dmimic_base,3,5,[],[],-0.0993736,1.53984,0.150062,3.07739,-0.0544787,-0.292219,0.988341,-0.146326,0.0222607,0.0357058
candidate_23,6dmimic_base,3,5,[],[],-0.0970015,1.53898,0.150207,3.07864,-0.0570147,-0.291936,0.988343,-0.146207,0.023611,0.0352657
candidate_24,6dmimic_base,3,5,[],[],-0.1,1.53879,0.150207,3.05769,-0.032039,-0.303687,0.987396,-0.151772,0.00947788,0.0438706
candidate_25,6dmimic_base,3,5,[],[],-0.09866,1.53275,0.149086,3.07103,-0.0102224,0.123918,0.997458,0.0617003,0.00728229,0.0348892
