Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],-0.00608417,-0.000922485,0.0944759,3.04712,-0.0941703,1.66172,0.674384,0.735371,0.0665323,-0.00291989
candidate_1,angular_groundtruth_frame_id,3,5,[],[],-0.00497683,-0.000430319,0.0947848,3.04234,-0.0977909,1.6459,0.680192,0.729727,0.0695224,-0.00209526
candidate_2,angular_groundtruth_frame_id,3,5,[],[],0.00803198,-0.00816977,0.0953031,3.03449,-0.0368743,2.24235,0.434818,0.898738,0.056201,0.00668075
candidate_3,angular_groundtruth_frame_id,3,5,[],[],0.00543175,-0.00808603,0.0954062,3.02658,-0.0464696,2.22932,0.440837,0.895446,0.0618002,0.00448645
candidate_4,angular_groundtruth_frame_id,3,5,[],[],0.00463495,-0.00688203,0.0955378,3.0352,-0.0553,2.24083,0.435848,0.898025,0.0598675,-0.00171798
candidate_5,angular_groundtruth_frame_id,3,5,[],[],0.00971132,-0.00283951,0.095264,3.02374,-0.0754734,2.88378,0.130436,0.988992,0.0632047,-0.0297846
candidate_6,angular_groundtruth_frame_id,3,5,[],[],0.00684976,-0.00233261,0.0956566,3.02785,-0.0795943,2.88872,0.128039,0.989344,0.0613515,-0.0322433
candidate_7,angular_groundtruth_frame_id,3,5,[],[],0.00781392,-0.00336984,0.0954764,3.03271,-0.0666954,2.8933,0.125376,0.990058,0.0580899,-0.0263014
candidate_8,angular_groundtruth_frame_id,3,5,[],[],0.0161941,0.0020794,0.095662,3.0196,-0.0533571,-3.0028,0.0675632,-0.995496,-0.0589417,0.0307868
candidate_9,angular_groundtruth_frame_id,3,5,[],[],0.0135895,0.00113065,0.0956104,3.01483,-0.0564643,-3.01822,0.059716,-0.995807,-0.0614565,0.0320214
candidate_10,angular_groundtruth_frame_id,3,5,[],[],0.0163977,0.00380304,0.0957686,3.03059,-0.0276141,-3.02918,0.0553197,-0.996832,-0.054605,0.0168795
candidate_11,angular_groundtruth_frame_id,3,5,[],[],-0.0103296,-0.168384,0.164569,-0.491734,-0.240334,-2.78538,-0.157245,0.21722,-0.952869,0.141885
candidate_12,angular_groundtruth_frame_id,3,5,[],[],-0.0249352,-0.227781,0.183615,-1.70009,-0.333207,-2.88936,-0.201766,0.721257,-0.661314,-0.041742
candidate_13,angular_groundtruth_frame_id,3,5,[],[],-0.0306866,-0.227143,0.183363,-1.76199,-0.349621,-2.88626,-0.206494,0.739343,-0.638665,-0.0532772
candidate_14,angular_groundtruth_frame_id,3,5,[],[],-0.00556823,-0.0010431,0.0942416,3.02288,-0.107136,1.70052,0.660069,0.746957,0.0797762,-0.00108178
candidate_15,angular_groundtruth_frame_id,3,5,[],[],-0.00567407,-0.00139059,0.0938553,3.01872,-0.103655,1.7007,0.659981,0.746988,0.080192,0.00159403
candidate_16,angular_groundtruth_frame_id,3,5,[],[],-0.00509599,-0.00171642,0.0943025,3.0251,-0.0963491,1.71307,0.655309,0.751583,0.0754266,0.00176654
candidate_17,angular_groundtruth_frame_id,3,5,[],[],0.00602164,-0.00655655,0.0949995,3.01821,-0.0841211,2.25179,0.431512,0.899023,0.0736636,-0.0113726
candidate_18,angular_groundtruth_frame_id,3,5,[],[],0.00352069,-0.0059001,0.0952917,3.01358,-0.0793363,2.2392,0.437089,0.896271,0.0747729,-0.00774782
candidate_19,angular_groundtruth_frame_id,3,5,[],[],0.00868399,-0.00727545,0.0949232,3.00004,-0.0658394,2.25581,0.429354,0.899768,0.0779303,0.000626515
candidate_20,angular_groundtruth_frame_id,3,5,[],[],0.011672,0.00185888,0.0955875,3.05359,-0.0920678,-3.04156,0.0478736,-0.996827,-0.041585,0.0481124
candidate_21,angular_groundtruth_frame_id,3,5,[],[],0.0109593,0.00163474,0.0956198,3.04204,-0.058346,-3.03483,0.0518186,-0.996992,-0.0481112,0.031745
candidate_22,angular_groundtruth_frame_id,3,5,[],[],0.0121222,0.00242004,0.0956866,3.03569,-0.0412687,-3.03782,0.0506883,-0.997099,-0.0517766,0.0233206
candidate_23,angular_groundtruth_frame_id,3,5,[],[],0.0120836,-0.0104284,0.103238,2.66498,-0.0508961,-2.56582,0.270052,-0.933153,-0.219248,0.090709
candidate_24,angular_groundtruth_frame_id,3,5,[],[],0.0114086,0.00921547,0.0954823,3.08023,-0.029821,-2.55356,0.289193,-0.956663,-0.0250384,0.0231526
candidate_25,angular_groundtruth_frame_id,3,5,[],[],0.0153024,0.00753229,0.0954531,3.06561,-0.00872163,-2.5403,0.295763,-0.954496,-0.0349883,0.0154102
