Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.121365,1.54256,0.194155,3.08337,-0.0519864,-1.08634,0.855031,-0.517108,0.00720201,0.0383354
candidate_1,6dmimic_base,3,5,[],[],-0.123743,1.54222,0.193935,3.07888,-0.0448794,-1.07712,0.85745,-0.513122,0.0031775,0.0384073
candidate_2,6dmimic_base,3,5,[],[],-0.123734,1.54179,0.194056,3.08086,-0.0347896,-1.09839,0.852146,-0.522133,-0.00101848,0.0349704
candidate_3,6dmimic_base,3,5,[],[],-0.131846,1.54217,0.195007,3.07789,-0.0589677,-0.616974,0.951612,-0.304226,0.0184087,0.0392763
candidate_4,6dmimic_base,3,5,[],[],-0.132077,1.54241,0.194836,3.07377,-0.052983,-0.617098,0.951621,-0.304251,0.0149311,0.0403295
candidate_5,6dmimic_base,3,5,[],[],-0.13193,1.54367,0.195019,3.08362,-0.049618,-0.638541,0.948548,-0.314328,0.0144495,0.0352904
candidate_6,6dmimic_base,3,5,[],[],-0.141545,1.53889,0.194303,3.05919,-0.0478726,-0.120801,0.996984,-0.0612794,0.0213844,0.042547
candidate_7,6dmimic_base,3,5,[],[],-0.137026,1.53941,0.194506,3.0643,-0.0608369,-0.134514,0.996454,-0.0682976,0.0277269,0.0405745
candidate_8,6dmimic_base,3,5,[],[],-0.13761,1.5391,0.194563,3.06166,-0.053524,-0.14591,0.996109,-0.0738721,0.0237549,0.0417857
candidate_9,6dmimic_base,3,5,[],[],-0.139154,1.53268,0.194345,3.04234,-0.0898269,0.475777,0.970187,0.232959,0.055258,0.0375925
candidate_10,6dmimic_base,3,5,[],[],-0.139005,1.53128,0.194447,3.05308,-0.0769184,0.489066,0.968996,0.240037,0.0479725,0.0335943
candidate_11,6dmimic_base,3,5,[],[],-0.141855,1.52871,0.194425,3.05395,-0.049618,0.502904,0.967595,0.247443,0.0348993,0.0362491
candidate_12,6dmimic_base,3,5,[],[],-0.138761,1.54382,0.202837,2.68469,-0.0851476,0.964917,0.866531,0.442956,0.141701,0.181204
candidate_13,6dmimic_base,3,5,[],[],-0.131373,1.52431,0.194213,3.07652,-0.0604634,0.992344,0.879012,0.474728,0.0420484,0.0142139
candidate_14,6dmimic_base,3,5,[],[],-0.148873,1.5957,0.225219,1.59663,-0.159291,0.874991,0.670196,0.252167,0.346364,0.606038
candidate_15,6dmimic_base,3,5,[],[],-0.119239,1.54124,0.194121,3.08667,-0.0922703,-1.10421,0.849531,-0.524804,0.0248665,0.0475317
candidate_16,6dmimic_base,3,5,[],[],-0.117053,1.54052,0.194118,3.08275,-0.088263,-1.11738,0.846069,-0.530433,0.021815,0.0482951
candidate_17,6dmimic_base,3,5,[],[],-0.117213,1.5422,0.194207,3.0835,-0.0805347,-1.08235,0.855445,-0.515512,0.0195399,0.0456022
candidate_18,6dmimic_base,3,5,[],[],-0.13074,1.54162,0.195006,3.05969,-0.0628319,-0.589672,0.955202,-0.291426,0.0181391,0.0482756
candidate_19,6dmimic_base,3,5,[],[],-0.13351,1.54238,0.194413,3.04971,-0.0577198,-0.584436,0.955817,-0.288922,0.0143795,0.0522623
candidate_20,6dmimic_base,3,5,[],[],-0.131635,1.54252,0.19474,3.06468,-0.037001,-0.594342,0.95509,-0.29323,0.00641974,0.0421677
candidate_21,6dmimic_base,3,5,[],[],-0.138508,1.53866,0.194305,3.04946,-0.0513633,-0.09537,0.997418,-0.0487818,0.0234282,0.0472034
candidate_22,6dmimic_base,3,5,[],[],-0.133464,1.53871,0.194447,3.05851,-0.053524,-0.111352,0.99717,-0.0566888,0.0243843,0.0429355
candidate_23,6dmimic_base,3,5,[],[],-0.140711,1.53826,0.19418,3.05183,-0.0329117,-0.119555,0.99703,-0.0604106,0.0137292,0.0457611
candidate_24,6dmimic_base,3,5,[],[],-0.143147,1.5333,0.19434,3.05572,-0.0650432,0.438659,0.974932,0.215897,0.0410415,0.0348034
candidate_25,6dmimic_base,3,5,[],[],-0.13298,1.53353,0.195218,3.06293,-0.0958692,0.429227,0.975583,0.21072,0.0551455,0.0281787
candidate_26,6dmimic_base,3,5,[],[],-0.138697,1.53339,0.194763,3.07632,-0.0674866,0.43354,0.975758,0.213764,0.0399442,0.0245979
candidate_27,6dmimic_base,3,5,[],[],-0.134144,1.525,0.194593,3.04772,-0.0597147,0.952576,0.887971,0.45653,0.0480036,0.0280073
candidate_28,6dmimic_base,3,5,[],[],-0.129558,1.52479,0.195055,3.04423,-0.039893,0.969654,0.883984,0.464552,0.040301,0.033762
candidate_29,6dmimic_base,3,5,[],[],-0.133021,1.52355,0.195073,3.06666,-0.0440992,0.972963,0.883534,0.466347,0.036984,0.0228031
