Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],0.00236771,0.0031769,0.0959587,3.08188,-0.0722164,1.02448,0.871221,0.488653,0.0460757,0.00831935
candidate_1,angular_groundtruth_frame_id,3,5,[],[],0.00177814,0.00231103,0.096026,3.08709,-0.0743165,1.02766,0.870442,0.490113,0.0457245,0.00546093
candidate_2,angular_groundtruth_frame_id,3,5,[],[],0.00105891,0.00304938,0.0961937,3.08804,-0.0690029,1.0225,0.871755,0.487995,0.0431653,0.00646627
candidate_3,angular_groundtruth_frame_id,3,5,[],[],0.00170028,0.00258009,0.0961088,3.08866,-0.068256,1.01427,0.873763,0.484434,0.0426608,0.0065517
candidate_4,angular_groundtruth_frame_id,3,5,[],[],0.00350787,0.00212015,0.0957665,3.08217,-0.0758746,1.01516,0.873458,0.484513,0.0475599,0.00751406
candidate_5,angular_groundtruth_frame_id,3,5,[],[],-0.00238567,0.00359159,0.0963925,3.0938,-0.0732237,1.00484,0.876004,0.48032,0.0435698,0.00330657
candidate_6,angular_groundtruth_frame_id,3,5,[],[],-0.000489677,0.00853677,0.0951618,3.09112,-0.0398768,0.610057,0.953496,0.299685,0.0265876,0.0180793
candidate_7,angular_groundtruth_frame_id,3,5,[],[],0.000505688,0.00856118,0.0951359,3.09104,-0.0420599,0.619492,0.952058,0.304146,0.0277233,0.0176573
candidate_8,angular_groundtruth_frame_id,3,5,[],[],0.0002453,0.00792608,0.0950155,3.07959,-0.0378317,0.601367,0.954678,0.295418,0.0272356,0.0239995
candidate_9,angular_groundtruth_frame_id,3,5,[],[],0.00103247,0.00791893,0.0950625,3.08165,-0.0441086,0.609723,0.953427,0.299323,0.0300191,0.0219625
candidate_10,angular_groundtruth_frame_id,3,5,[],[],-0.000175683,0.0065431,0.0949907,3.06783,-0.0460533,0.607189,0.95362,0.29786,0.0329765,0.0282972
candidate_11,angular_groundtruth_frame_id,3,5,[],[],-0.00199525,0.013105,0.0961093,3.09834,0.00826502,0.114128,0.998125,0.0571086,-0.0028916,0.021823
candidate_12,angular_groundtruth_frame_id,3,5,[],[],-0.00129466,0.0127268,0.095747,3.09386,-0.00462766,0.116346,0.998025,0.0580685,0.00369671,0.0236891
candidate_13,angular_groundtruth_frame_id,3,5,[],[],-0.00135227,0.0127272,0.095579,3.09423,-0.018776,0.113298,0.998085,0.0563786,0.0107108,0.0231083
candidate_14,angular_groundtruth_frame_id,3,5,[],[],0.0019769,0.0117276,0.0951292,3.09577,-0.0318616,0.13035,0.997512,0.0647392,0.0173839,0.0218195
candidate_15,angular_groundtruth_frame_id,3,5,[],[],-0.00176448,0.0128154,0.0957374,3.10899,-0.02449,0.135496,0.997512,0.0674828,0.0133183,0.0154329
candidate_16,angular_groundtruth_frame_id,3,5,[],[],-0.000576712,0.0125437,0.0956264,3.10773,-0.0205889,0.127974,0.997769,0.0637567,0.0113543,0.0162377
candidate_17,angular_groundtruth_frame_id,3,5,[],[],-0.00355187,0.012616,0.0961127,3.102,-0.00764392,0.134859,0.99753,0.0672894,0.00514621,0.0194916
