Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.124979,1.5358,0.194905,3.03912,-0.0369015,-1.83783,0.605032,-0.794339,-0.0295279,0.0457133
candidate_1,6dmimic_base,3,5,[],[],-0.12133,1.53638,0.19554,3.0532,-0.0263039,-1.82611,0.61022,-0.79089,-0.0269279,0.0374038
candidate_2,6dmimic_base,3,5,[],[],-0.121872,1.53608,0.195556,3.0537,-0.0324125,-1.82798,0.609356,-0.791513,-0.0249008,0.0396416
candidate_3,6dmimic_base,3,5,[],[],-0.121494,1.53682,0.195336,3.0471,-0.0385212,-1.81215,0.615321,-0.786626,-0.0253015,0.0442705
candidate_4,6dmimic_base,3,5,[],[],-0.122887,1.53665,0.195373,3.04788,-0.0378597,-1.8338,0.606802,-0.793247,-0.0256682,0.0434932
candidate_5,6dmimic_base,3,5,[],[],-0.12351,1.53686,0.195186,3.03924,-0.0402665,-1.82287,0.610871,-0.789821,-0.0281057,0.0472219
candidate_6,6dmimic_base,3,5,[],[],-0.122464,1.53675,0.195266,3.02698,-0.0367968,-1.83085,0.607515,-0.792029,-0.0342064,0.0494618
candidate_7,6dmimic_base,3,5,[],[],-0.124102,1.53706,0.19515,3.03101,-0.047,-1.82935,0.607917,-0.791729,-0.0294622,0.052293
candidate_8,6dmimic_base,3,5,[],[],-0.123775,1.53691,0.195104,3.02628,-0.0533565,-1.81227,0.614337,-0.786488,-0.0289172,0.0564922
candidate_9,6dmimic_base,3,5,[],[],-0.122131,1.53309,0.19421,3.04822,-0.0734277,-2.20074,0.450942,-0.890579,-0.0249536,0.0538228
candidate_10,6dmimic_base,3,5,[],[],-0.119553,1.53408,0.19449,3.04822,-0.0649507,-2.19787,0.452461,-0.889973,-0.0268058,0.0500927
candidate_11,6dmimic_base,3,5,[],[],-0.120744,1.53454,0.194598,3.04025,-0.0742341,-2.19749,0.452145,-0.889735,-0.0282287,0.0560239
candidate_12,6dmimic_base,3,5,[],[],-0.119699,1.53556,0.194389,3.02977,-0.0736773,-2.21146,0.44564,-0.892712,-0.0334222,0.057913
candidate_13,6dmimic_base,3,5,[],[],-0.119849,1.53575,0.19461,3.03425,-0.0695636,-2.20572,0.448457,-0.891519,-0.0321852,0.0551726
candidate_14,6dmimic_base,3,5,[],[],-0.121412,1.53409,0.194528,3.04336,-0.0741765,-2.20934,0.446953,-0.892443,-0.0271861,0.0551354
candidate_15,6dmimic_base,3,5,[],[],-0.119175,1.53514,0.194739,3.06668,-0.0714241,-2.19106,0.455774,-0.888592,-0.016951,0.0488497
candidate_16,6dmimic_base,3,5,[],[],-0.115974,1.53541,0.195002,3.07253,-0.0755483,-2.19625,0.453511,-0.889783,-0.0135349,0.0493114
candidate_17,6dmimic_base,3,5,[],[],-0.11588,1.53543,0.194883,3.06604,-0.0772937,-2.18042,0.460333,-0.886103,-0.015613,0.0516819
candidate_18,6dmimic_base,3,5,[],[],-0.11612,1.52889,0.194818,3.10407,-0.0517368,-2.67547,0.230369,-0.972579,-0.012275,0.0294934
candidate_19,6dmimic_base,3,5,[],[],-0.114336,1.52873,0.19443,3.07789,-0.0733038,-2.68631,0.224277,-0.973317,-0.0227389,0.0428626
candidate_20,6dmimic_base,3,5,[],[],-0.115529,1.52864,0.194326,3.07265,-0.076421,-2.69504,0.21985,-0.974178,-0.0251297,0.0448564
candidate_21,6dmimic_base,3,5,[],[],-0.116476,1.52895,0.194384,3.08188,-0.0835262,-2.68644,0.224108,-0.973213,-0.0196422,0.0473858
candidate_22,6dmimic_base,3,5,[],[],-0.116386,1.52987,0.194225,3.06592,-0.0951204,-2.67384,0.229571,-0.971397,-0.0257457,0.0549713
candidate_23,6dmimic_base,3,5,[],[],-0.118394,1.5293,0.194267,3.08325,-0.0964923,-2.66774,0.232978,-0.970849,-0.0170053,0.0536985
candidate_24,6dmimic_base,3,5,[],[],-0.117143,1.5295,0.194523,3.08213,-0.0863938,-2.65864,0.237563,-0.969958,-0.0185164,0.0490145
candidate_25,6dmimic_base,3,5,[],[],-0.115325,1.5297,0.194707,3.08516,-0.0705113,-2.66384,0.235404,-0.970849,-0.0190571,0.040905
candidate_26,6dmimic_base,3,5,[],[],-0.117524,1.52888,0.19451,3.08325,-0.0800356,-2.65614,0.238922,-0.969777,-0.0186789,0.0458228
candidate_27,6dmimic_base,3,5,[],[],-0.117037,1.52917,0.19453,3.082,-0.0767945,-2.664,0.235145,-0.970746,-0.0198482,0.0443233
