Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0126588,1.50594,0.0820984,3.09656,-0.0660904,-1.15448,0.836897,-0.545899,0.0154001,0.0368802
candidate_1,6dmimic_base,3,5,[],[],-0.0253263,1.50985,0.0972092,3.07141,-0.0557266,-1.12349,0.844956,-0.532958,0.00488198,0.0445135
candidate_2,6dmimic_base,3,5,[],[],-0.0288991,1.51136,0.112193,3.08475,-0.0460016,-1.13758,0.841638,-0.538804,0.00406667,0.0363213
candidate_3,6dmimic_base,3,5,[],[],-0.0398087,1.51512,0.127368,3.08307,-0.0451464,-1.11399,0.84792,-0.528836,0.00368805,0.0367569
candidate_4,6dmimic_base,3,5,[],[],-0.0467489,1.51842,0.142201,3.0633,-0.0359032,-1.12773,0.844036,-0.534556,-0.00575255,0.042658
candidate_5,6dmimic_base,3,5,[],[],-0.0533072,1.5225,0.158489,3.1027,-0.0380237,-1.12187,0.846247,-0.532096,0.0057509,0.0265753
candidate_6,6dmimic_base,3,5,[],[],-0.0638126,1.52511,0.173567,3.08425,-0.034657,-1.18421,0.829026,-0.558206,-0.00162607,0.033452
candidate_7,6dmimic_base,3,5,[],[],-0.0765287,1.52739,0.188438,3.01861,-0.011411,-1.14077,0.839899,-0.539223,-0.0283872,0.0547968
candidate_8,6dmimic_base,3,5,[],[],-0.0823098,1.53008,0.203816,3.0466,-0.0191986,-1.17024,0.832415,-0.552032,-0.018229,0.0448756
candidate_9,6dmimic_base,3,5,[],[],-0.0870798,1.53471,0.219334,3.08898,-0.0340339,-1.15952,0.835938,-0.547929,-0.000175942,0.0313193
