Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],0.0664953,0.00727119,0.0158538,3.05902,-0.121695,0.0699043,0.996777,0.0323423,0.0621607,0.0390498
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.0794108,0.0139201,0.0156764,3.06804,-0.134149,0.0868836,0.996243,0.0408392,0.0685089,0.0337413
candidate_2,linear_groundtruth_frame_id,3,5,[],[],0.0872167,0.00892955,0.0152874,3.04533,-0.152786,0.0849119,0.995187,0.0386019,0.0781975,0.0446926
candidate_3,linear_groundtruth_frame_id,3,5,[],[],0.0990413,0.0085674,0.0144375,3.04512,-0.173921,0.119147,0.993547,0.0550641,0.089456,0.042786
candidate_4,linear_groundtruth_frame_id,3,5,[],[],0.109117,0.0100604,0.0148957,3.05763,-0.175947,0.0823912,0.994563,0.0373044,0.0894299,0.0381539
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.119578,0.0097306,0.0146954,3.04701,-0.166333,0.103508,0.9943,0.047573,0.0853039,0.0427532
candidate_6,linear_groundtruth_frame_id,3,5,[],[],0.128205,0.0130148,0.0149839,3.05906,-0.160994,0.105443,0.994704,0.0491691,0.0823971,0.0368297
candidate_7,linear_groundtruth_frame_id,3,5,[],[],0.137425,0.0102505,0.0141071,3.0355,-0.16683,0.092125,0.994269,0.0414086,0.085546,0.0489498
candidate_8,linear_groundtruth_frame_id,3,5,[],[],0.147752,0.00639646,0.0141265,3.04197,-0.145922,0.0842407,0.995372,0.0383173,0.0748323,0.0465499
candidate_9,linear_groundtruth_frame_id,3,5,[],[],0.158626,0.00861584,0.014792,3.06864,-0.146625,0.0913558,0.995733,0.0428408,0.0747825,0.0329882
candidate_10,linear_groundtruth_frame_id,3,5,[],[],0.166381,0.0068357,0.0139482,3.05361,-0.163493,0.117417,0.994192,0.0548376,0.0840076,0.0389682
