Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0359431,1.48574,0.0766774,3.04734,-0.104097,-1.22148,0.815801,-0.57407,0.0155949,0.0683402
candidate_1,6dmimic_base,3,5,[],[],-0.0260096,1.47515,0.0761987,3.05665,-0.116356,-1.20439,0.820559,-0.567021,0.0238644,0.0678364
candidate_2,6dmimic_base,3,5,[],[],-0.0286726,1.46628,0.0757431,3.03388,-0.135013,-1.20615,0.81847,-0.568054,0.0250142,0.0824365
candidate_3,6dmimic_base,3,5,[],[],-0.0257907,1.45482,0.0747001,3.03425,-0.155771,-1.17177,0.827193,-0.553945,0.0351655,0.0875214
candidate_4,6dmimic_base,3,5,[],[],-0.021583,1.44554,0.0749705,3.0461,-0.158202,-1.20839,0.817309,-0.568782,0.0379249,0.0839953
candidate_5,6dmimic_base,3,5,[],[],-0.019033,1.43539,0.0745994,3.03588,-0.148353,-1.18745,0.823239,-0.560379,0.0318635,0.0850736
candidate_6,6dmimic_base,3,5,[],[],-0.0135033,1.42799,0.0747013,3.04797,-0.142993,-1.18558,0.824493,-0.559411,0.0331062,0.0785778
candidate_7,6dmimic_base,3,5,[],[],-0.0136461,1.41838,0.0737059,3.02416,-0.148976,-1.19879,0.819504,-0.565216,0.0283257,0.0902307
candidate_8,6dmimic_base,3,5,[],[],-0.0145178,1.40739,0.0736018,3.03051,-0.128158,-1.2069,0.81841,-0.568373,0.0212075,0.0818955
candidate_9,6dmimic_base,3,5,[],[],-0.0093891,1.39754,0.0740567,3.05732,-0.128781,-1.19979,0.821423,-0.565123,0.029331,0.0709923
candidate_10,6dmimic_base,3,5,[],[],-0.0089871,1.38961,0.0731062,3.04273,-0.145361,-1.17361,0.827514,-0.554555,0.0331088,0.081195
