Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],0.0714746,0.0141852,0.0159588,3.08217,-0.116065,0.0956214,0.996818,0.0459699,0.0593254,0.0268537
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.0782436,0.00784901,0.0156132,3.08044,-0.0974301,0.138906,0.996043,0.0677973,0.0506748,0.0270843
candidate_2,linear_groundtruth_frame_id,3,5,[],[],0.0872679,0.00907965,0.0157289,3.07989,-0.113421,0.142247,0.995519,0.0691713,0.0586984,0.0266941
candidate_3,linear_groundtruth_frame_id,3,5,[],[],0.0955097,0.0085129,0.0153542,3.08153,-0.0985605,0.16612,0.995016,0.0813524,0.0515567,0.0258044
candidate_4,linear_groundtruth_frame_id,3,5,[],[],0.107739,0.0112181,0.015574,3.08172,-0.112464,0.149077,0.995326,0.0726409,0.0582464,0.0256165
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.118158,0.00864057,0.0152062,3.08317,-0.100289,0.101035,0.997117,0.0489492,0.0515111,0.026603
candidate_6,linear_groundtruth_frame_id,3,5,[],[],0.127328,0.00632849,0.0151608,3.07352,-0.110367,0.148898,0.995275,0.0723521,0.0574983,0.0297828
candidate_7,linear_groundtruth_frame_id,3,5,[],[],0.136761,0.0083361,0.014788,3.0698,-0.109289,0.14561,0.995363,0.0706304,0.0570439,0.0317681
candidate_8,linear_groundtruth_frame_id,3,5,[],[],0.147993,0.00690663,0.0146197,3.08367,-0.0858969,0.145261,0.996116,0.0712296,0.0449034,0.0257383
candidate_9,linear_groundtruth_frame_id,3,5,[],[],0.15592,0.0091052,0.0145386,3.08262,-0.0925138,0.155912,0.99557,0.076401,0.0483734,0.0257616
candidate_10,linear_groundtruth_frame_id,3,5,[],[],0.169031,0.00494635,0.014538,3.07116,-0.0890857,0.102778,0.997151,0.0497178,0.0462485,0.0328416
