Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.03407,1.48459,0.0763657,3.05161,-0.0977384,-1.20641,0.82046,-0.567843,0.0147044,0.0646781
candidate_1,6dmimic_base,3,5,[],[],-0.0344799,1.47521,0.0762941,3.03712,-0.102725,-1.23557,0.811426,-0.579863,0.0115908,0.0722017
candidate_2,6dmimic_base,3,5,[],[],-0.0313637,1.46448,0.0757162,3.05657,-0.10472,-1.23283,0.812817,-0.578613,0.0181303,0.0648579
candidate_3,6dmimic_base,3,5,[],[],-0.029315,1.45418,0.075487,3.04797,-0.106964,-1.21288,0.818183,-0.570563,0.0172436,0.0688299
candidate_4,6dmimic_base,3,5,[],[],-0.0261439,1.44557,0.075015,3.03675,-0.11245,-1.1968,0.822141,-0.56409,0.0168969,0.0748372
candidate_5,6dmimic_base,3,5,[],[],-0.0186123,1.43556,0.0750755,3.06293,-0.112075,-1.20365,0.821125,-0.566639,0.0239048,0.0640465
candidate_6,6dmimic_base,3,5,[],[],-0.0180318,1.42673,0.0745153,3.04722,-0.111451,-1.19144,0.824067,-0.561784,0.0196263,0.0701997
candidate_7,6dmimic_base,3,5,[],[],-0.0170017,1.41771,0.0743359,3.04351,-0.101461,-1.20346,0.820899,-0.566712,0.0140366,0.0690316
candidate_8,6dmimic_base,3,5,[],[],-0.0125995,1.40669,0.0744137,3.06398,-0.100531,-1.19986,0.822613,-0.565054,0.0195639,0.0603258
candidate_9,6dmimic_base,3,5,[],[],-0.0109025,1.39757,0.0745217,3.06492,-0.0938743,-1.20727,0.820746,-0.568077,0.0168685,0.0581321
