Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],3.41873e-06,0.0745452,0.0173858,3.02231,-0.0570549,0.104764,0.996536,0.0505456,0.0315534,0.0580089
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.000515427,0.0877176,0.0173196,3.06576,-0.0742218,0.0893132,0.997661,0.0431739,0.0387298,0.0361874
candidate_2,linear_groundtruth_frame_id,3,5,[],[],-0.00105408,0.100066,0.0173689,3.06823,-0.0564248,0.100461,0.997722,0.0491224,0.0299947,0.0351961
candidate_3,linear_groundtruth_frame_id,3,5,[],[],-0.000614202,0.108572,0.0173309,3.06858,-0.0491247,0.0926566,0.998002,0.0453714,0.0262071,0.0353138
candidate_4,linear_groundtruth_frame_id,3,5,[],[],-0.00120909,0.117688,0.0173652,3.06172,-0.0430421,0.106321,0.997606,0.0522228,0.0235928,0.0387164
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.000120824,0.128134,0.0173117,3.06671,-0.0267984,0.0940349,0.998129,0.046462,0.0151339,0.0367596
candidate_6,linear_groundtruth_frame_id,3,5,[],[],-0.00160341,0.137561,0.0171674,3.05506,-0.0505068,0.116472,0.997116,0.0570397,0.0277009,0.0416972
candidate_7,linear_groundtruth_frame_id,3,5,[],[],-0.00162321,0.149154,0.0173102,3.05975,-0.0434164,0.083862,0.998087,0.0409865,0.0233837,0.0399539
candidate_8,linear_groundtruth_frame_id,3,5,[],[],-0.00223419,0.157615,0.0172172,3.05893,-0.044109,0.112822,0.997365,0.0554095,0.0243279,0.0400012
candidate_9,linear_groundtruth_frame_id,3,5,[],[],-0.000657995,0.170733,0.0177115,3.07053,-0.0274514,0.0945183,0.998182,0.0467203,0.0153793,0.0348318
candidate_10,linear_groundtruth_frame_id,3,5,[],[],-0.00341686,0.173755,0.0170918,3.04181,-0.0426034,0.113537,0.996981,0.055594,0.0240682,0.0485704
