Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],0.0105437,1.56812,0.0784664,3.01139,-0.0392123,-1.1881,0.826052,-0.559487,-0.0201939,0.0648493
candidate_1,6dmimic_base,3,5,[],[],0.0233502,1.57123,0.0782242,3.05456,-0.0565487,-1.20335,0.822584,-0.566275,-0.0013302,0.0518361
candidate_2,6dmimic_base,3,5,[],[],0.0347963,1.57613,0.0781425,3.05724,-0.0386294,-1.19241,0.826125,-0.561576,-0.00770487,0.0457197
candidate_3,6dmimic_base,3,5,[],[],0.043096,1.57803,0.077989,3.05744,-0.0314159,-1.20029,0.824049,-0.564737,-0.0108011,0.0435708
candidate_4,6dmimic_base,3,5,[],[],0.0517003,1.5811,0.0779173,3.05084,-0.0251834,-1.1867,0.827834,-0.558995,-0.0149339,0.0446393
candidate_5,6dmimic_base,3,5,[],[],0.0621086,1.58268,0.0777089,3.05561,-0.00907571,-1.19916,0.824692,-0.563929,-0.0205105,0.0380414
candidate_6,6dmimic_base,3,5,[],[],0.0707003,1.58693,0.0774733,3.04435,-0.0325382,-1.17648,0.830388,-0.554825,-0.0134467,0.0494429
candidate_7,6dmimic_base,3,5,[],[],0.0818457,1.59012,0.077469,3.04847,-0.0258064,-1.20914,0.821445,-0.568239,-0.0158506,0.0456185
candidate_8,6dmimic_base,3,5,[],[],0.0898138,1.59303,0.0772786,3.04816,-0.0261799,-1.18019,0.82957,-0.556294,-0.0151191,0.0460742
candidate_9,6dmimic_base,3,5,[],[],0.102868,1.5951,0.0775798,3.05944,-0.00972323,-1.19867,0.824893,-0.563775,-0.0191537,0.0366481
candidate_10,6dmimic_base,3,5,[],[],0.105009,1.59859,0.0769676,3.03106,-0.0246667,-1.17949,0.829371,-0.555825,-0.0204855,0.0527543
