Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],0.0520628,0.054944,0.0218302,3.06859,-0.069957,0.0502125,0.99844,0.0237958,0.0358526,0.0355811
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.0478273,0.0544477,0.0369456,3.06134,-0.0621471,0.0876161,0.997809,0.0424925,0.0327698,0.0386992
candidate_2,linear_groundtruth_frame_id,3,5,[],[],0.0399199,0.0419413,0.0515802,3.04948,-0.017171,0.0678622,0.998341,0.0334923,0.0101332,0.0457231
candidate_3,linear_groundtruth_frame_id,3,5,[],[],0.0348774,0.038837,0.0664599,3.05296,-0.0519811,0.0814875,0.997899,0.0395284,0.0277444,0.0431911
candidate_4,linear_groundtruth_frame_id,3,5,[],[],0.0279066,0.0329792,0.0814494,3.04358,-0.0248682,0.0539761,0.998375,0.0263414,0.0137361,0.0486299
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.0200334,0.0254643,0.0967192,3.05277,-0.0254924,0.0992377,0.997731,0.0489804,0.0149194,0.0437062
candidate_6,linear_groundtruth_frame_id,3,5,[],[],0.0132998,0.0203469,0.112276,3.0708,-0.0166096,0.112792,0.997767,0.0560352,0.010281,0.0348631
candidate_7,linear_groundtruth_frame_id,3,5,[],[],0.00839644,0.0135394,0.127424,3.05139,0.0218544,0.0789341,0.998126,0.0399066,-0.00912848,0.0454801
candidate_8,linear_groundtruth_frame_id,3,5,[],[],0.00298602,0.00668087,0.142478,3.07726,0.0250556,0.0825821,0.998536,0.0416573,-0.0111828,0.0326496
candidate_9,linear_groundtruth_frame_id,3,5,[],[],-0.00237322,0.00228897,0.15689,3.05604,-0.0515275,0.133147,0.996615,0.0653423,0.0285241,0.0409417
