Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],0.0055279,1.51327,0.0814506,3.03288,-0.0714346,-1.21263,0.818911,-0.570233,-0.00163749,0.0649346
candidate_1,6dmimic_base,3,5,[],[],0.0038249,1.51593,0.0970545,3.0534,-0.0507315,-1.21172,0.820311,-0.569654,-0.0042681,0.0506554
candidate_2,6dmimic_base,3,5,[],[],-0.0062924,1.52146,0.111894,3.06006,-0.0625823,-1.21126,0.820333,-0.569576,0.00251098,0.0512853
candidate_3,6dmimic_base,3,5,[],[],-0.013709,1.52458,0.127442,3.06864,-0.047939,-1.22161,0.817904,-0.573698,-0.00128966,0.0436033
candidate_4,6dmimic_base,3,5,[],[],-0.0227397,1.52701,0.142246,3.05607,-0.0610865,-1.22348,0.816772,-0.574567,0.000439459,0.052501
candidate_5,6dmimic_base,3,5,[],[],-0.030785,1.53187,0.157331,3.03899,-0.058842,-1.21487,0.818818,-0.571005,-0.00513223,0.0588548
candidate_6,6dmimic_base,3,5,[],[],-0.0405481,1.53769,0.172772,3.03101,-0.0642037,-1.20154,0.822214,-0.565584,-0.00478589,0.0636772
candidate_7,6dmimic_base,3,5,[],[],-0.0423432,1.53967,0.188037,3.06542,-0.0714346,-1.21737,0.818506,-0.572124,0.00751725,0.0516217
candidate_8,6dmimic_base,3,5,[],[],-0.0472258,1.54479,0.203646,3.07228,-0.0585924,-1.19954,0.824043,-0.56471,0.00461511,0.0451142
candidate_9,6dmimic_base,3,5,[],[],-0.0551139,1.54874,0.218584,3.06957,-0.0621337,-1.23325,0.814266,-0.578543,0.00451413,0.0473105
