Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,angular_groundtruth_frame_id,3,5,[],[],0.00520451,-0.0111244,0.0883364,3.05238,-0.0545903,1.67596,0.668955,0.741464,0.0513705,0.00955264
candidate_1,angular_groundtruth_frame_id,3,5,[],[],0.0309892,-0.00872788,0.0886585,-3.08764,-0.0658193,1.64814,0.677975,0.733853,0.00255481,-0.0424524
candidate_2,angular_groundtruth_frame_id,3,5,[],[],0.0495108,-0.00860271,0.0822387,-2.76496,-0.00537604,1.55365,0.700179,0.688983,-0.12935,-0.135354
candidate_3,angular_groundtruth_frame_id,3,5,[],[],0.0694658,-0.00561585,0.0708297,-2.51052,-0.0705879,1.55887,0.668075,0.67555,-0.194126,-0.244179
candidate_4,angular_groundtruth_frame_id,3,5,[],[],0.0863562,0.000262338,0.0534629,-2.27042,-0.121489,1.56494,0.62371,0.656186,-0.257901,-0.337481
candidate_5,angular_groundtruth_frame_id,3,5,[],[],0.103175,0.00629623,0.0254147,-1.96252,-0.169512,1.49459,0.575534,0.597426,-0.324899,-0.454184
candidate_6,angular_groundtruth_frame_id,3,5,[],[],-0.0222256,-0.0101055,0.0871526,2.85731,0.0118571,1.6748,0.662011,0.735961,0.101313,0.0991882
candidate_7,angular_groundtruth_frame_id,3,5,[],[],-0.0392611,-0.0156815,0.0771632,2.61872,0.0337932,1.59791,0.670532,0.695222,0.173815,0.191942
candidate_8,angular_groundtruth_frame_id,3,5,[],[],-0.0503884,-0.0208686,0.067985,2.34215,-0.001081,1.5316,0.66415,0.638324,0.270092,0.280173
candidate_9,angular_groundtruth_frame_id,3,5,[],[],-0.0791965,-0.0327342,0.0400762,2.07816,0.0549198,1.45683,0.633696,0.583953,0.319724,0.39396
