Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0444715,1.52133,0.147484,3.05308,-0.0304193,-0.79051,0.921629,-0.385243,-0.00301038,0.0466765
candidate_1,6dmimic_base,3,5,[],[],-0.0630963,1.50334,0.147796,-3.08761,-0.0416383,-0.81831,-0.917148,0.397088,-0.0298265,0.0164754
candidate_2,6dmimic_base,3,5,[],[],-0.077582,1.49178,0.141409,-2.76722,0.0186995,-0.912807,-0.881158,0.434567,-0.0737669,0.171089
candidate_3,6dmimic_base,3,5,[],[],-0.091481,1.47718,0.129968,-2.51265,-0.0465008,-0.907447,-0.857664,0.410244,-0.155411,0.268252
candidate_4,6dmimic_base,3,5,[],[],-0.101279,1.46234,0.112496,-2.27242,-0.0973894,-0.901288,-0.824449,0.376142,-0.222906,0.359324
candidate_5,6dmimic_base,3,5,[],[],-0.111101,1.44762,0.0843413,-1.96624,-0.145611,-0.971276,-0.752881,0.351766,-0.311645,0.460769
candidate_6,6dmimic_base,3,5,[],[],-0.0224425,1.5377,0.146225,2.85798,0.0360288,-0.791631,0.914254,-0.379279,-0.0709375,0.123509
candidate_7,6dmimic_base,3,5,[],[],-0.0127935,1.55288,0.136342,2.61753,0.0579449,-0.868593,0.87899,-0.399431,-0.134335,0.223124
candidate_8,6dmimic_base,3,5,[],[],-0.0075,1.56405,0.127271,2.33936,0.0229389,-0.934873,0.823831,-0.410809,-0.185349,0.343779
candidate_9,6dmimic_base,3,5,[],[],0.0071131,1.5918,0.0996033,2.07358,0.0786637,-1.00992,0.762443,-0.398581,-0.275667,0.428744
