Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],0.00253372,0.177981,0.0254925,3.0624,-0.0935188,0.0697076,0.997582,0.0329322,0.0480553,0.0378897
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.0032425,0.166873,0.0256189,3.0685,-0.109878,0.0733433,0.997227,0.0345788,0.0561753,0.0344444
candidate_2,linear_groundtruth_frame_id,3,5,[],[],0.00280647,0.154912,0.0253619,3.05955,-0.0976034,0.0852822,0.997147,0.0405429,0.050443,0.0388447
candidate_3,linear_groundtruth_frame_id,3,5,[],[],0.00219988,0.148538,0.0256008,3.07794,-0.096048,0.0816867,0.997571,0.039238,0.0492391,0.0297988
candidate_4,linear_groundtruth_frame_id,3,5,[],[],0.00502951,0.139337,0.0258461,3.06289,-0.117342,0.095582,0.996478,0.0453495,0.0604011,0.0364293
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.0050968,0.129878,0.0259821,3.07618,-0.133256,0.0927023,0.996277,0.0440323,0.0679833,0.0295082
candidate_6,linear_groundtruth_frame_id,3,5,[],[],0.00446676,0.117083,0.0256941,3.07551,-0.127934,0.0749707,0.996789,0.0352693,0.0650792,0.0305492
candidate_7,linear_groundtruth_frame_id,3,5,[],[],0.00566461,0.107039,0.0256396,3.07279,-0.129543,0.0866397,0.996473,0.0409659,0.0661133,0.0314877
candidate_8,linear_groundtruth_frame_id,3,5,[],[],0.00456054,0.0994089,0.0256174,3.08457,-0.136557,0.0902242,0.996338,0.0430304,0.0694112,0.0253373
candidate_9,linear_groundtruth_frame_id,3,5,[],[],0.00424408,0.0865637,0.0252977,3.0863,-0.111884,0.0895489,0.997123,0.0431284,0.0570706,0.0250698
candidate_10,linear_groundtruth_frame_id,3,5,[],[],0.00350217,0.0755757,0.0255077,3.0382,-0.0296521,0.0699109,0.997971,0.0341322,0.0166023,0.051118
