Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],0.0732409,1.58855,0.0769848,3.05021,-0.0785398,-1.32795,0.785017,-0.616545,0.00276175,0.0601116
candidate_1,6dmimic_base,3,5,[],[],0.0693617,1.58761,0.0780547,3.07992,-0.0880815,-1.3346,0.783522,-0.619038,0.0155058,0.0514261
candidate_2,6dmimic_base,3,5,[],[],0.0560571,1.58464,0.0779123,3.07702,-0.112748,-1.33204,0.783506,-0.617987,0.0243651,0.0601381
candidate_3,6dmimic_base,3,5,[],[],0.0464135,1.58496,0.0780441,3.09135,-0.0846485,-1.31236,0.79072,-0.610199,0.0182035,0.0456898
candidate_4,6dmimic_base,3,5,[],[],0.0357496,1.5827,0.0779182,3.06466,-0.0801508,-1.30819,0.791438,-0.608726,0.00839293,0.0548523
candidate_5,6dmimic_base,3,5,[],[],0.0264994,1.58091,0.0783417,3.07427,-0.0812817,-1.33468,0.783532,-0.619111,0.0110847,0.0515432
candidate_6,6dmimic_base,3,5,[],[],0.0155072,1.57865,0.0783136,3.07141,-0.090258,-1.31511,0.78923,-0.611436,0.0142629,0.0552977
candidate_7,6dmimic_base,3,5,[],[],0.0056057,1.57725,0.0784797,3.07066,-0.0757979,-1.34291,0.781028,-0.622339,0.00760116,0.0513
candidate_8,6dmimic_base,3,5,[],[],-0.0024516,1.57671,0.0786327,3.09342,-0.0858702,-1.32075,0.788172,-0.613486,0.019129,0.0453237
candidate_9,6dmimic_base,3,5,[],[],-0.0114357,1.5752,0.0787944,3.09559,-0.079039,-1.29877,0.795073,-0.60479,0.0175625,0.042188
candidate_10,6dmimic_base,3,5,[],[],-0.0286932,1.57023,0.0787521,3.00429,-0.0402595,-1.31877,0.787502,-0.612156,-0.0261441,0.0665074
