Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],0.0768837,1.58814,0.077247,3.06243,-0.0590916,-1.35649,0.776991,-0.627574,-0.00183206,0.0493202
candidate_1,6dmimic_base,3,5,[],[],0.0642827,1.58551,0.0774437,3.06368,-0.0534821,-1.33318,0.784413,-0.618439,-0.0030754,0.0471198
candidate_2,6dmimic_base,3,5,[],[],0.0579058,1.5839,0.0775474,3.05657,-0.0595908,-1.32321,0.787167,-0.614555,-0.00261453,0.0518031
candidate_3,6dmimic_base,3,5,[],[],0.0427967,1.58098,0.0773997,3.03239,-0.0734277,-1.32707,0.784881,-0.616153,-0.00471702,0.0655409
candidate_4,6dmimic_base,3,5,[],[],0.0373657,1.58172,0.0780744,3.0844,-0.0652491,-1.30457,0.793386,-0.607173,0.00856507,0.0425019
candidate_5,6dmimic_base,3,5,[],[],0.0282875,1.57884,0.0781759,3.08499,-0.0670713,-1.31161,0.791214,-0.609964,0.00931814,0.0428514
candidate_6,6dmimic_base,3,5,[],[],0.0163332,1.57641,0.0786238,3.07926,-0.0492427,-1.33106,0.785495,-0.617594,0.000119957,0.0396979
candidate_7,6dmimic_base,3,5,[],[],0.0060334,1.57611,0.0787438,3.08599,-0.0643276,-1.30862,0.792206,-0.608773,0.00859784,0.0416089
candidate_8,6dmimic_base,3,5,[],[],-0.0020548,1.57409,0.0790466,3.10407,-0.0324125,-1.31947,0.789726,-0.612959,0.00130528,0.024753
candidate_9,6dmimic_base,3,5,[],[],-0.0113373,1.57265,0.0789422,3.09796,-0.0466247,-1.30364,0.794268,-0.606728,0.00529678,0.0314751
candidate_10,6dmimic_base,3,5,[],[],-0.0223729,1.56872,0.0788884,3.01705,-0.0322886,-1.3262,0.785839,-0.615082,-0.0256039,0.0589548
