Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],0.00473366,0.180007,0.0248136,3.04323,-0.120839,0.0710758,0.996444,0.0324561,0.0620153,0.046898
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.00209179,0.171987,0.0249935,3.07245,-0.10875,0.083197,0.99714,0.0396232,0.0557044,0.032227
candidate_2,linear_groundtruth_frame_id,3,5,[],[],0.00369303,0.157979,0.0247956,3.06544,-0.120907,0.0774451,0.996791,0.0363161,0.0617988,0.0356304
candidate_3,linear_groundtruth_frame_id,3,5,[],[],0.00451946,0.149877,0.025061,3.06176,-0.102608,0.0569162,0.997543,0.0263486,0.0523537,0.0383792
candidate_4,linear_groundtruth_frame_id,3,5,[],[],0.00251506,0.140741,0.0251472,3.06578,-0.105172,0.0866057,0.997051,0.0412084,0.0541129,0.0355358
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.00335623,0.129543,0.0250986,3.0716,-0.0993339,0.0886657,0.997252,0.0425012,0.0511161,0.0327125
candidate_6,linear_groundtruth_frame_id,3,5,[],[],0.00345561,0.122059,0.0254741,3.0758,-0.09245,0.0737078,0.997769,0.0352676,0.0473627,0.0311288
candidate_7,linear_groundtruth_frame_id,3,5,[],[],0.00366225,0.10977,0.025476,3.08505,-0.0825403,0.0573886,0.998372,0.0274886,0.0420353,0.0270498
candidate_8,linear_groundtruth_frame_id,3,5,[],[],0.00303218,0.100832,0.0252293,3.088,-0.0874395,0.0839227,0.997856,0.0407239,0.0447746,0.0249124
candidate_9,linear_groundtruth_frame_id,3,5,[],[],0.00273882,0.0927414,0.0252547,3.08323,-0.0933219,0.0861077,0.99762,0.0416157,0.0478354,0.0271114
candidate_10,linear_groundtruth_frame_id,3,5,[],[],0.00391458,0.0769721,0.0260384,3.04317,-0.0365226,0.0792243,0.997875,0.0386497,0.0201717,0.0484235
